id;address;country;province;city;district;village;postal_code;telephone;created_by;updated_by;deleted_by
1;even beyond;Bouvet Island;violently;Lombard;reboot lanky imprisonment;up;31098;653-805-6896;looks failing unless;tickle jubilantly cluttered;after gleefully
2;zowie;South Georgia and the South Sandwich Islands;accidentally sans;Evansborough;astonishing twin;subdued honestly;12686;329-733-2306 x59598;though warmly oof;kindheartedly;shrilly qua scale
3;hmph successfully;Bahrain;whereas incident;Sandrineshire;rarely giving less;functional;2499;213.901.9741 x8013;truly in;shackle tart powerfully;netbook role boo
4;domesticate so;Comoros;loyal;Lake Mauricio;among cricket;gadzooks pish crafty;27942;894.511.3443 x798;plough doubtfully;apropos since;to drat
5;ugh that openly;Seychelles;oof daily;Karabury;repeatedly selfishly hmph;intelligent;4262;858.815.9580 x6221;although indeed discontinue;well;strap
6;whether yahoo toward;Luxembourg;seemingly essential;Fort Lisandroboro;oddly closed;enrapture devastate;25164;1-813-499-2970 x214;er;whose;doze
7;uncoil ah;Tanzania;helpfully;Brooklyn Park;outside aw even;gadzooks;5221;566.365.2573 x47314;a softly interloper;royal rehabilitate wet;colorfully queasily qua
8;state which under;Azerbaijan;hopelessly;North Gerryworth;incidentally oval;vaccine unaccountably;2860;354.529.5880 x68719;recant shaft;merry;obediently jovially
9;phony why whereas;Luxembourg;finally gee spy;Ankeny;sectional organizing apropos;simplistic instead;17554;1-774-550-8927;ack;gee poor during;yuck
10;official;Guinea-Bissau;detail wonderful yowza;Sheilafield;diphthongise;aha however;32642;(222) 303-6770 x5188;pushy tumble;restrain doctor;usurp defy
